year,fips,rep_votes,dem_votes,acs_vintage,total_pop,hispanic,edu_total_25plus,hs_or_less
2012,01001,17379,6363,2012,54590,1310,35144,17106
2012,01003,66016,18424,2012,183226,7915,127271,51467
2012,01005,5550,5912,2012,27469,1365,18982,11333
2012,01007,6132,2202,2012,22769,419,15518,10159
2012,01009,20757,2970,2012,57466,4646,38703,23413
2012,01011,1251,4061,2012,10779,623,7575,4978
2012,01013,5087,4374,2012,20730,203,14081,8804
2012,01015,30278,15511,2012,117834,3838,78303,42827
2012,01017,7626,6871,2012,34228,555,23621,14471
2012,01019,7506,2132,2012,25917,333,18503,10447
2012,01021,13932,3397,2012,43611,3238,28945,18379
2012,01023,4152,3786,2012,13838,83,9617,6171
2012,01025,7470,6334,2012,25768,183,17214,10838
2012,01027,4817,1777,2012,13828,401,9673,6195
2012,01029,5272,971,2012,14905,313,10173,6493
2012,01031,14666,4925,2012,49966,3070,33409,15969
2012,01033,13936,9166,2012,54451,1132,37936,19543
2012,01035,3439,3555,2012,13188,38,8930,5845
2012,01037,3049,2191,2012,11305,225,8153,5550
2012,01039,12153,3158,2012,37803,516,26210,14885
2012,01041,4331,2050,2012,13971,213,9477,5936
2012,01043,28999,5052,2012,80403,3402,54919,29555
2012,01045,13108,5286,2012,50129,2794,33020,15312
2012,01047,6288,14612,2012,43572,315,27909,16725
2012,01049,18331,5239,2012,70949,9544,46841,30480
2012,01051,26253,8954,2012,79330,2091,53090,25526
2012,01053,9287,5489,2012,38122,730,26230,15664
2012,01055,29130,12803,2012,104317,3503,71383,36300
2012,01057,6054,1817,2012,17219,213,12046,7606
2012,01059,7567,3171,2012,31664,4649,21054,12790
2012,01061,9175,2039,2012,26769,899,18737,11587
2012,01063,804,4521,2012,9067,0,5966,3806
2012,01065,3210,5411,2012,15750,66,10463,6737
2012,01067,5628,3083,2012,17275,389,12081,6901
2012,01069,29270,12367,2012,101459,2950,68215,34840
2012,01071,14439,5822,2012,53279,1334,37186,22869
2012,01073,141683,159876,2012,658464,24770,439531,176402
2012,01075,5457,1646,2012,14513,186,10226,6437
2012,01077,23911,12511,2012,92528,2065,62668,31558
2012,01079,8874,5069,2012,34148,601,23274,14298
2012,01081,32194,21381,2012,140938,4668,80386,33208
2012,01083,25295,9829,2012,83313,4529,56813,28382
2012,01085,1756,5747,2012,11304,72,7429,4660
2012,01087,1331,9045,2012,21214,274,12915,6398
2012,01089,90884,62015,2012,334661,14916,221377,71827
2012,01091,5336,6167,2012,20909,364,14061,7697
2012,01093,9697,2249,2012,30641,645,21690,13745
2012,01095,25867,6299,2012,93070,11174,61577,35308
2012,01097,94893,78760,2012,412297,9864,267708,133466
2012,01099,5741,4914,2012,22993,224,15359,10000
2012,01101,38332,63085,2012,229376,7887,146368,60297
2012,01103,35391,13439,2012,119330,8943,80903,40410
2012,01105,1506,4568,2012,10525,81,6745,4573
2012,01107,5124,4455,2012,19646,320,13390,8673
2012,01109,7963,6035,2012,32750,743,19055,10367
2012,01111,7224,3078,2012,22843,636,15474,9838
2012,01113,8278,10500,2012,53938,2092,34948,18820
2012,01115,29031,5801,2012,83530,1733,57090,30645
2012,01117,71436,20051,2012,195237,11191,130376,38979
2012,01119,1586,5421,2012,13669,101,8408,5345
2012,01121,19246,13905,2012,82194,1653,55822,33291
2012,01123,12396,6319,2012,41534,1006,29016,16673
2012,01125,45748,32048,2012,194254,5860,114468,52630
2012,01127,21651,6557,2012,67016,1340,46419,27644
2012,01129,5761,2976,2012,17407,163,11561,7904
2012,01131,1679,4868,2012,11706,21,7593,5100
2012,01133,8312,1286,2012,24432,648,17196,10354
2012,02013,3078,2425,2012,3114,449,2429,1434
2012,02016,2876,4013,2012,5507,741,4032,2199
