table,cell,n,weight_n,weight_mass,kish_ess
denominator,all,5521,2694,2694.0,1289.8887274989188
denominator,panel,2171,0,0.0,
denominator,PAPI,245,0,0.0,
denominator,fresh,3105,2694,2694.0,1289.8887274989188
denominator,post_design,2694,2694,2694.0,1289.8887274989188
denominator,domain,1835,1835,1791.9614791609754,879.7557981085743
denominator,support,793,793,588.8922180497752,406.78201598610565
fresh_vote,D,1177,1172,1101.141712007985,554.6443242748535
fresh_vote,R,881,877,889.3367416187426,433.06899252456606
fresh_vote,other,62,61,62.49732447675863,26.27974152544927
fresh_vote,nonvoter,527,527,575.9377438968481,248.50619237442538
fresh_vote,conflict,0,0,0.0,
fresh_vote,unknown,458,57,65.0864779996655,32.408140846006305
domain_E_I_Y,"0,0,0",396,396,424.1703567320071,190.86341535679887
domain_E_I_Y,"0,0,1",83,83,98.23034807351515,40.86570977262078
domain_E_I_Y,"0,1,0",453,453,435.6761777237821,212.46278421832622
domain_E_I_Y,"0,1,1",301,301,326.5376361620592,158.57006147452984
domain_E_I_Y,"1,0,0",95,95,69.43211414439529,51.64104323821825
domain_E_I_Y,"1,0,1",77,77,70.72473291715178,39.09305284646605
domain_E_I_Y,"1,1,0",115,115,72.8259288464846,55.15674439941243
domain_E_I_Y,"1,1,1",315,315,294.3641845615802,147.3768732909556
fresh_E_I_vote,"0,0,D",422,422,446.607007551156,204.4004884172299
fresh_E_I_vote,"0,0,R",92,92,106.5600107554969,45.8550178037927
fresh_E_I_vote,"0,0,other",21,21,20.53415769346813,11.020774708341795
fresh_E_I_vote,"0,0,nonvoter",143,143,186.490688653803,69.1945811286722
fresh_E_I_vote,"0,0,conflict",0,0,0.0,
fresh_E_I_vote,"0,0,unknown",12,12,13.602224589296366,6.322818178947587
fresh_E_I_vote,"0,1,D",503,503,477.3907405293047,237.07140880124047
fresh_E_I_vote,"0,1,R",324,324,350.80898121746117,168.9070987917683
fresh_E_I_vote,"0,1,other",15,15,23.115180920438853,6.6993650451623195
fresh_E_I_vote,"0,1,nonvoter",143,143,158.0236167838935,70.43147704404376
fresh_E_I_vote,"0,1,conflict",0,0,0.0,
fresh_E_I_vote,"0,1,unknown",24,24,25.018738935322375,15.909679617081798
fresh_E_I_vote,"0,None,D",19,15,12.719762595644967,7.569118243945089
fresh_E_I_vote,"0,None,R",12,9,9.789744986008193,5.338238417486525
fresh_E_I_vote,"0,None,other",1,0,0.0,
fresh_E_I_vote,"0,None,nonvoter",8,8,15.229747538240822,4.850284766573102
fresh_E_I_vote,"0,None,conflict",0,0,0.0,
fresh_E_I_vote,"0,None,unknown",259,4,5.037184618908122,2.508450739850916
fresh_E_I_vote,"1,0,D",101,101,73.50788614419396,55.0148018092891
fresh_E_I_vote,"1,0,R",86,86,81.42753521748662,41.90483610094598
fresh_E_I_vote,"1,0,other",11,11,9.624383871232544,4.294606218730458
fresh_E_I_vote,"1,0,nonvoter",104,104,94.7776494253465,49.367857776256905
fresh_E_I_vote,"1,0,conflict",0,0,0.0,
fresh_E_I_vote,"1,0,unknown",8,8,11.746971897300842,3.6875433142678453
fresh_E_I_vote,"1,1,D",127,127,83.03638712075164,63.47446703937312
fresh_E_I_vote,"1,1,R",353,353,327.9479325202004,165.98254312907954
fresh_E_I_vote,"1,1,other",11,11,7.765243037098484,7.261734588344066
fresh_E_I_vote,"1,1,nonvoter",118,118,111.54077625166289,53.20211034300566
fresh_E_I_vote,"1,1,conflict",0,0,0.0,
fresh_E_I_vote,"1,1,unknown",6,6,6.785659072160287,4.1493126425653095
fresh_E_I_vote,"1,None,D",3,2,2.955669755677281,1.295525575019685
fresh_E_I_vote,"1,None,R",12,11,11.80659354788153,5.4935293399436365
fresh_E_I_vote,"1,None,other",1,1,0.345475309856654,1.0
fresh_E_I_vote,"1,None,nonvoter",8,8,8.373796328329664,5.513574710777333
fresh_E_I_vote,"1,None,conflict",0,0,0.0,
fresh_E_I_vote,"1,None,unknown",142,1,0.468098256612652,1.0
fresh_E_I_vote,"None,0,D",0,0,0.0,
fresh_E_I_vote,"None,0,R",1,1,0.683138157764033,1.0
