"model","term","estimate","se"
"M0","(Intercept)",-4.60997746997647,0.443876601152016
"M0","E",1.35524097856509,0.32623794849837
"M0","PID1",3.25193164799952,0.551701390317249
"M0","PID2",6.10040699446031,0.357638341283015
"M0","income1",0.0675245137168023,0.400720378146136
"M0","income2",-0.052177615617725,0.389270410078101
"M0","income3",-0.482062257984734,0.478979478159775
"M0","owner1",0.113670125198421,0.297088269196655
"M0","age1",0.569354940628124,0.439951164860406
"M0","age2",0.817638892067318,0.447309647006098
"M0","age3",0.632986882316062,0.470139086582954
"M0","sample3",0.461746075214379,0.30434284456139
"M0","phone1",0.88885284757104,0.581660218141415
"M1","(Intercept)",-5.79379211752152,0.682311416581052
"M1","E",1.41630262775262,0.4522985556754
"M1","PID1",1.17983947919376,0.795133086130663
"M1","PID2",3.6077705044296,0.479745384777126
"M1","income1",-0.42364498600201,0.51831252878398
"M1","income2",-0.499455076970806,0.525379983727473
"M1","income3",-0.649398943882344,0.712320901321823
"M1","owner1",0.448974399146757,0.280138308415742
"M1","age1",0.108740868904233,0.405301960296771
"M1","age2",0.585075427547128,0.444236905269838
"M1","age3",0.500751854045727,0.480611858645158
"M1","sample3",0.930250662178933,0.34559160709719
"M1","phone1",0.764020143378075,0.795376158522385
"M1","I",0.61397476032057,0.404531405345642
"M1","CR_higher",5.04179245929235,0.402284052691099
"M1","Ctie",3.01306687385965,0.372748976690135
"M2","(Intercept)",-5.82875683642147,0.686821940333918
"M2","E",1.50578397827423,0.508306984514722
"M2","PID1",1.17799065870905,0.795259771540456
"M2","PID2",3.60652215003199,0.480116747938168
"M2","income1",-0.420144687098464,0.519160835639969
"M2","income2",-0.497985983948618,0.526474544871972
"M2","income3",-0.63907799054298,0.710309158238738
"M2","owner1",0.443985526376719,0.284801385591479
"M2","age1",0.114570996153386,0.400412608992539
"M2","age2",0.591013726015979,0.433807906130774
"M2","age3",0.506709537056179,0.474045689141916
"M2","sample3",0.929963580013732,0.34524418754196
"M2","phone1",0.780168580987558,0.804454655788377
"M2","I",0.657483783536824,0.527410786574687
"M2","CR_higher",5.04454641419464,0.397861873766341
"M2","Ctie",3.00487168160392,0.37639245625088
"M2","E:I",-0.130965289466542,0.695077585676775
