PID20raw,policy20,stable,return,nonreturn_change,W11,W12,W21,W22,zero_rows,zero_W_cells
1,1,121,1,10,53,16,28,35,0,0
1,2,1536,6,20,27,39,115,1381,0,0
2,1,63,0,22,46,9,14,16,1,0
2,2,476,9,26,29,23,42,417,0,0
3,1,57,3,14,20,16,15,23,0,0
3,2,460,29,57,10,8,37,491,0,0
4,1,222,13,89,223,17,49,35,0,0
4,2,352,24,193,51,26,72,420,0,0
5,1,336,21,62,350,16,31,22,0,0
5,2,170,11,38,61,14,47,97,0,0
6,1,252,4,19,198,17,31,29,0,0
6,2,167,8,49,29,22,45,128,0,0
7,1,723,4,15,615,26,65,36,0,0
7,2,399,4,13,106,31,111,168,0,0
8,1,1,0,19,12,1,3,4,1,0
8,2,7,0,43,4,3,8,35,1,0
