group,measure,cohort,any_unknown_item_n,both_post_questionnaires_n,eligible_missing_weight_n,eligible_n,eligible_zero_weight_n,item_observed_both_n,known_ineligible_n,positive_weight_eligible_n,positive_weight_item_observed_both_n,positive_weight_target_n,target_n,unresolved_eligibility_n,changed_n,d_to_r_n,forward_n,forward_positive_n,n,n_eff,positive_n,r0_n,r1_n,r_to_d_n,reverse_n,reverse_positive_n,sparse_transitions,unweighted_delta_pp,unweighted_positive_weight_delta_pp,unweighted_r0_pp,unweighted_r1_pp,w,w2,weighted_delta_pp,weighted_r0_pp,weighted_r1_pp,zero_denominator,D_R_n,R_D_n,D_I_n,I_D_n,I_R_n,R_I_n,weight_column
all,house,full,3149,9619,0,7221,0,7860,768,7221,7860,9746,11009,3020,329,168,168,168,7221,2306.1331565479954,7221,3178,3185,161,161,161,False,0.09693948206619582,0.09693948206619582,44.010524858052904,44.107464340119094,6692.1275000000005,19419.76782611,0.6227137782416726,48.25129676623764,48.87401054447931,False,168,161,0,0,0,0,commonpostweight_22
all,house,retained,1319,5709,0,4471,0,4856,443,4471,4856,5761,6175,1261,186,91,91,91,4471,1616.9951157516723,4471,2051,2047,95,95,95,False,-0.0894654439722657,-0.0894654439722657,45.873406396779245,45.78394095280698,3834.908,9094.968330579999,0.46673870663911626,51.22062641398437,51.68736512062348,False,91,95,0,0,0,0,commonpostweight_22
all,house,omitted,1830,3910,0,2750,0,3004,325,2750,3004,3985,4834,1759,143,77,77,77,2750,790.6887949460546,2750,1127,1138,66,66,66,False,0.4,0.4,40.98181818181818,41.38181818181818,2857.2194999999997,10324.79949553,0.8320606799722602,44.2659165667881,45.09797724676036,False,77,66,0,0,0,0,commonpostweight_22
all,pid,full,267,,0,10742,0,10742,0,10742,10742,11009,11009,267,947,70,228,228,10742,2951.2986838975917,10742,3872,3785,79,315,315,False,-0.8099050456153417,-0.8099050456153417,36.04542915658164,35.235524110966296,10513.629500000001,37453.47967197,-0.3303987457423717,38.86082917416863,38.53043042842626,False,70,79,188,216,158,236,commonweight_22
all,pid,retained,119,,0,6056,0,6056,0,6056,6056,6175,6175,119,491,29,115,115,6056,1842.7337983439484,6056,2284,2225,42,174,174,False,-0.9742404227212682,-0.9742404227212682,37.714663143989426,36.74042272126816,5638.5528,17253.32096636,0.5524538140354028,40.56991183978981,41.12236565382521,False,29,42,99,103,86,132,commonweight_22
all,pid,omitted,148,,0,4686,0,4686,0,4686,4686,4834,4834,148,456,41,113,113,4686,1176.5438666718235,4686,1588,1560,37,141,141,False,-0.597524541186513,-0.597524541186513,33.88817755014938,33.29065300896287,4875.0767,20200.15870561,-1.351513095168328,36.88409045954087,35.53257736437255,False,41,37,89,113,72,104,commonweight_22
Latino_employed_2020,house,full,191,481,0,358,0,393,41,358,393,487,584,185,10,3,3,3,358,70.51733716952123,358,145,141,7,7,7,False,-1.1173184357541899,-1.1173184357541899,40.502793296089386,39.385474860335194,249.3033,881.37382785,-0.21716519596812392,45.72586885131484,45.50870365534672,False,3,7,0,0,0,0,commonpostweight_22
Latino_employed_2020,house,retained,62,253,0,196,0,220,27,196,220,255,282,59,4,1,1,1,196,41.5970539748897,196,79,77,3,3,3,True,-1.0204081632653061,-1.0204081632653061,40.30612244897959,39.285714285714285,120.703,350.24629912,-1.572206158918999,46.75633579944161,45.184129640522606,False,1,3,0,0,0,0,commonpostweight_22
Latino_employed_2020,house,omitted,129,228,0,162,0,173,14,162,173,232,302,126,6,2,2,2,162,31.137601170164825,162,66,64,4,4,4,True,-1.2345679012345678,-1.2345679012345678,40.74074074074074,39.50617283950617,128.6003,531.12752873,1.0546631695260429,44.75868252251355,45.8133456920396,False,2,4,0,0,0,0,commonpostweight_22
Latino_employed_2020,pid,full,23,,0,561,0,561,0,561,561,584,584,23,63,9,22,22,561,106.02529442590323,561,177,181,8,18,18,False,0.7130124777183601,0.7130124777183601,31.550802139037433,32.263814616755795,439.4157,1821.1329518300001,2.265918127185715,33.74733765771227,36.013255784897986,False,9,8,11,12,13,10,commonweight_22
Latino_employed_2020,pid,retained,4,,0,278,0,278,0,278,278,282,282,4,26,3,7,7,278,48.40300648791248,278,87,85,4,9,9,False,-0.7194244604316548,-0.7194244604316548,31.294964028776977,30.575539568345324,223.1803,1029.0568690300001,0.4405854817831143,30.470655340099466,30.91124082188258,False,3,4,5,5,4,5,commonweight_22
Latino_employed_2020,pid,omitted,19,,0,283,0,283,0,283,283,302,302,19,37,6,15,15,283,59.03189002737047,283,90,96,4,9,9,False,2.1201413427561837,2.1201413427561837,31.802120141342755,33.92226148409894,216.2354,792.0760828000001,4.149875552291623,37.12925820656562,41.27913375885725,False,6,4,6,7,9,5,commonweight_22
