group,measure,cohort,any_unknown_item_n,both_post_questionnaires_n,eligible_missing_weight_n,eligible_n,eligible_zero_weight_n,item_observed_both_n,known_ineligible_n,positive_weight_eligible_n,positive_weight_item_observed_both_n,positive_weight_target_n,target_n,unresolved_eligibility_n
all,house,full,3149,9619,0,7221,0,7860,768,7221,7860,9746,11009,3020
all,house,retained,1319,5709,0,4471,0,4856,443,4471,4856,5761,6175,1261
all,house,omitted,1830,3910,0,2750,0,3004,325,2750,3004,3985,4834,1759
all,pid,full,267,,0,10742,0,10742,0,10742,10742,11009,11009,267
all,pid,retained,119,,0,6056,0,6056,0,6056,6056,6175,6175,119
all,pid,omitted,148,,0,4686,0,4686,0,4686,4686,4834,4834,148
Latino_employed_2020,house,full,191,481,0,358,0,393,41,358,393,487,584,185
Latino_employed_2020,house,retained,62,253,0,196,0,220,27,196,220,255,282,59
Latino_employed_2020,house,omitted,129,228,0,162,0,173,14,162,173,232,302,126
Latino_employed_2020,pid,full,23,,0,561,0,561,0,561,561,584,584,23
Latino_employed_2020,pid,retained,4,,0,278,0,278,0,278,278,282,282,4
Latino_employed_2020,pid,omitted,19,,0,283,0,283,0,283,283,302,302,19
R_renter_2020,house,full,296,646,0,418,0,453,46,418,453,649,749,285
R_renter_2020,house,retained,121,366,0,265,0,280,20,265,280,367,401,116
R_renter_2020,house,omitted,175,280,0,153,0,173,26,153,173,282,348,169
R_renter_2020,pid,full,7,,0,742,0,742,0,742,742,749,749,7
R_renter_2020,pid,retained,4,,0,397,0,397,0,397,397,401,401,4
R_renter_2020,pid,omitted,3,,0,345,0,345,0,345,345,348,348,3
