after,before,cohort,group,measure,n,positive_n,w,w2,weight_missing_n,weight_zero_n
D,D,full,Latino_employed_2020,house,210,210,133.1474,466.47302154,0,0
R,D,full,Latino_employed_2020,house,3,3,2.1598,3.13888946,0,0
missing_item,D,full,Latino_employed_2020,house,23,23,1.099,0.25354652,0,0
not_post,D,full,Latino_employed_2020,house,49,0,0.0,0.0,49,0
not_race,D,full,Latino_employed_2020,house,1,1,0.0107,0.00011448999999999998,0,0
other,D,full,Latino_employed_2020,house,9,9,1.968,1.1004952799999999,0,0
unknown,D,full,Latino_employed_2020,house,1,1,0.0004,1.6e-07,0,0
D,R,full,Latino_employed_2020,house,7,7,2.7012,2.16277094,0,0
R,R,full,Latino_employed_2020,house,138,138,111.2949,409.59914591,0,0
missing_item,R,full,Latino_employed_2020,house,14,14,0.1674,0.00361722,0,0
not_post,R,full,Latino_employed_2020,house,27,0,0.0,0.0,27,0
not_race,R,full,Latino_employed_2020,house,3,3,0.030299999999999997,0.0004382099999999999,0,0
other,R,full,Latino_employed_2020,house,1,1,0.0028,7.84e-06,0,0
D,missing_item,full,Latino_employed_2020,house,4,4,22.7593,152.56289265,0,0
R,missing_item,full,Latino_employed_2020,house,3,3,30.102,316.58522544,0,0
missing_item,missing_item,full,Latino_employed_2020,house,33,33,71.5081,395.67604723,0,0
not_post,missing_item,full,Latino_employed_2020,house,7,0,0.0,0.0,7,0
D,not_post,full,Latino_employed_2020,house,1,1,0.74,0.5476,0,0
R,not_post,full,Latino_employed_2020,house,4,4,10.646299999999998,101.03606650999998,0,0
missing_item,not_post,full,Latino_employed_2020,house,1,1,0.1114,0.01240996,0,0
not_post,not_post,full,Latino_employed_2020,house,7,0,0.0,0.0,7,0
D,not_race,full,Latino_employed_2020,house,3,3,0.5102,0.10497842,0,0
R,not_race,full,Latino_employed_2020,house,3,3,0.7382,0.2511789,0,0
not_post,not_race,full,Latino_employed_2020,house,3,0,0.0,0.0,3,0
other,not_race,full,Latino_employed_2020,house,1,1,0.3411,0.11634921000000001,0,0
R,not_vote,full,Latino_employed_2020,house,2,2,2.9984,8.507012660000001,0,0
D,other,full,Latino_employed_2020,house,7,7,4.5001,4.16932439,0,0
R,other,full,Latino_employed_2020,house,5,5,1.6082999999999998,0.8832538099999999,0,0
missing_item,other,full,Latino_employed_2020,house,1,1,0.0117,0.00013689,0,0
not_post,other,full,Latino_employed_2020,house,2,0,0.0,0.0,2,0
D,unknown,full,Latino_employed_2020,house,2,2,11.7035,134.35934593,0,0
R,unknown,full,Latino_employed_2020,house,4,4,1.8887,1.1412945700000001,0,0
missing_item,unknown,full,Latino_employed_2020,house,2,2,0.014799999999999999,0.0001657,0,0
not_post,unknown,full,Latino_employed_2020,house,2,0,0.0,0.0,2,0
unknown,unknown,full,Latino_employed_2020,house,1,1,0.0014,1.96e-06,0,0
D,D,full,Latino_employed_2020,pid,276,276,183.7072,615.58261912,0,0
I,D,full,Latino_employed_2020,pid,11,11,3.8147,2.96405805,0,0
R,D,full,Latino_employed_2020,pid,9,9,5.702999999999999,8.632398879999998,0,0
unknown,D,full,Latino_employed_2020,pid,3,3,0.7473,0.47868185,0,0
D,I,full,Latino_employed_2020,pid,12,12,17.598,123.35880466,0,0
I,I,full,Latino_employed_2020,pid,63,63,70.2813,413.10404877,0,0
R,I,full,Latino_employed_2020,pid,13,13,10.0204,13.47467342,0,0
unknown,I,full,Latino_employed_2020,pid,3,3,5.0386,24.694411340000002,0,0
D,R,full,Latino_employed_2020,pid,8,8,3.4017,5.185546349999999,0,0
I,R,full,Latino_employed_2020,pid,10,10,2.3649,0.89998557,0,0
R,R,full,Latino_employed_2020,pid,159,159,142.5245,637.93081701,0,0
unknown,R,full,Latino_employed_2020,pid,1,1,0.104,0.010816,0,0
D,unknown,full,Latino_employed_2020,pid,3,3,1.8178,2.78410404,0,0
I,unknown,full,Latino_employed_2020,pid,8,8,25.6104,131.80839572,0,0
R,unknown,full,Latino_employed_2020,pid,1,1,6.4044,41.016339359999996,0,0
unknown,unknown,full,Latino_employed_2020,pid,4,4,8.4305,53.119776869999995,0,0
D,D,omitted,Latino_employed_2020,house,94,94,69.199,304.56138138,0,0
R,D,omitted,Latino_employed_2020,house,2,2,1.8415,3.0375745700000003,0,0
missing_item,D,omitted,Latino_employed_2020,house,16,16,0.29919999999999997,0.0114206,0,0
not_post,D,omitted,Latino_employed_2020,house,32,0,0.0,0.0,32,0
other,D,omitted,Latino_employed_2020,house,3,3,1.1703,0.9280421099999999,0,0
unknown,D,omitted,Latino_employed_2020,house,1,1,0.0004,1.6e-07,0,0
D,R,omitted,Latino_employed_2020,house,4,4,0.4852,0.09486182000000001,0,0
R,R,omitted,Latino_employed_2020,house,62,62,57.074600000000004,223.43371096,0,0
missing_item,R,omitted,Latino_employed_2020,house,11,11,0.13369999999999999,0.00305605,0,0
not_post,R,omitted,Latino_employed_2020,house,22,0,0.0,0.0,22,0
not_race,R,omitted,Latino_employed_2020,house,1,1,0.0093,8.648999999999998e-05,0,0
D,missing_item,omitted,Latino_employed_2020,house,2,2,6.6142,21.899223399999997,0,0
R,missing_item,omitted,Latino_employed_2020,house,1,1,11.5908,134.34664464,0,0
missing_item,missing_item,omitted,Latino_employed_2020,house,20,20,33.300399999999996,110.94915033999999,0,0
not_post,missing_item,omitted,Latino_employed_2020,house,6,0,0.0,0.0,6,0
R,not_post,omitted,Latino_employed_2020,house,3,3,10.5368,101.02407625999999,0,0
missing_item,not_post,omitted,Latino_employed_2020,house,1,1,0.1114,0.01240996,0,0
not_post,not_post,omitted,Latino_employed_2020,house,6,0,0.0,0.0,6,0
D,not_race,omitted,Latino_employed_2020,house,3,3,0.5102,0.10497842,0,0
R,not_race,omitted,Latino_employed_2020,house,1,1,0.4493,0.20187048999999999,0,0
not_post,not_race,omitted,Latino_employed_2020,house,2,0,0.0,0.0,2,0
D,other,omitted,Latino_employed_2020,house,2,2,1.486,1.44408058,0,0
R,other,omitted,Latino_employed_2020,house,1,1,0.1436,0.02062096,0,0
not_post,other,omitted,Latino_employed_2020,house,1,0,0.0,0.0,1,0
D,unknown,omitted,Latino_employed_2020,house,1,1,0.1127,0.012701289999999999,0,0
R,unknown,omitted,Latino_employed_2020,house,1,1,0.6467,0.41822089000000007,0,0
missing_item,unknown,omitted,Latino_employed_2020,house,1,1,0.0021,4.409999999999999e-06,0,0
not_post,unknown,omitted,Latino_employed_2020,house,1,0,0.0,0.0,1,0
unknown,unknown,omitted,Latino_employed_2020,house,1,1,0.0014,1.96e-06,0,0
D,D,omitted,Latino_employed_2020,pid,136,136,91.02289999999999,268.98947737000003,0,0
I,D,omitted,Latino_employed_2020,pid,6,6,2.4472,2.12409914,0,0
R,D,omitted,Latino_employed_2020,pid,6,6,4.5373,7.903275109999999,0,0
unknown,D,omitted,Latino_employed_2020,pid,2,2,0.0568,0.0018916,0,0
D,I,omitted,Latino_employed_2020,pid,7,7,6.4502,23.05235278,0,0
I,I,omitted,Latino_employed_2020,pid,29,29,23.1011,94.72648065,0,0
R,I,omitted,Latino_employed_2020,pid,9,9,8.3901,12.360301490000001,0,0
unknown,I,omitted,Latino_employed_2020,pid,3,3,5.0386,24.694411340000002,0,0
D,R,omitted,Latino_employed_2020,pid,4,4,3.0285,5.139108009999999,0,0
I,R,omitted,Latino_employed_2020,pid,5,5,0.9254,0.23727122,0,0
R,R,omitted,Latino_employed_2020,pid,81,81,76.3327,377.54371703000004,0,0
unknown,R,omitted,Latino_employed_2020,pid,1,1,0.104,0.010816,0,0
D,unknown,omitted,Latino_employed_2020,pid,1,1,0.056,0.0031360000000000003,0,0
I,unknown,omitted,Latino_employed_2020,pid,7,7,17.9072,72.46910548,0,0
R,unknown,omitted,Latino_employed_2020,pid,1,1,6.4044,41.016339359999996,0,0
unknown,unknown,omitted,Latino_employed_2020,pid,4,4,8.4305,53.119776869999995,0,0
D,D,retained,Latino_employed_2020,house,116,116,63.9484,161.91164016,0,0
R,D,retained,Latino_employed_2020,house,1,1,0.3183,0.10131489000000002,0,0
missing_item,D,retained,Latino_employed_2020,house,7,7,0.7998,0.24212592000000002,0,0
not_post,D,retained,Latino_employed_2020,house,17,0,0.0,0.0,17,0
not_race,D,retained,Latino_employed_2020,house,1,1,0.0107,0.00011448999999999998,0,0
other,D,retained,Latino_employed_2020,house,6,6,0.7977,0.17245317,0,0
D,R,retained,Latino_employed_2020,house,3,3,2.2159999999999997,2.06790912,0,0
R,R,retained,Latino_employed_2020,house,76,76,54.2203,186.16543495,0,0
missing_item,R,retained,Latino_employed_2020,house,3,3,0.0337,0.00056117,0,0
not_post,R,retained,Latino_employed_2020,house,5,0,0.0,0.0,5,0
not_race,R,retained,Latino_employed_2020,house,2,2,0.020999999999999998,0.0003517199999999999,0,0
other,R,retained,Latino_employed_2020,house,1,1,0.0028,7.84e-06,0,0
D,missing_item,retained,Latino_employed_2020,house,2,2,16.1451,130.66366925,0,0
R,missing_item,retained,Latino_employed_2020,house,2,2,18.5112,182.2385808,0,0
missing_item,missing_item,retained,Latino_employed_2020,house,13,13,38.207699999999996,284.72689689,0,0
not_post,missing_item,retained,Latino_employed_2020,house,1,0,0.0,0.0,1,0
D,not_post,retained,Latino_employed_2020,house,1,1,0.74,0.5476,0,0
R,not_post,retained,Latino_employed_2020,house,1,1,0.1095,0.01199025,0,0
not_post,not_post,retained,Latino_employed_2020,house,1,0,0.0,0.0,1,0
R,not_race,retained,Latino_employed_2020,house,2,2,0.2889,0.04930841,0,0
not_post,not_race,retained,Latino_employed_2020,house,1,0,0.0,0.0,1,0
other,not_race,retained,Latino_employed_2020,house,1,1,0.3411,0.11634921000000001,0,0
R,not_vote,retained,Latino_employed_2020,house,2,2,2.9984,8.507012660000001,0,0
D,other,retained,Latino_employed_2020,house,5,5,3.0141,2.72524381,0,0
R,other,retained,Latino_employed_2020,house,4,4,1.4647,0.8626328499999999,0,0
missing_item,other,retained,Latino_employed_2020,house,1,1,0.0117,0.00013689,0,0
not_post,other,retained,Latino_employed_2020,house,1,0,0.0,0.0,1,0
D,unknown,retained,Latino_employed_2020,house,1,1,11.5908,134.34664464,0,0
R,unknown,retained,Latino_employed_2020,house,3,3,1.242,0.72307368,0,0
missing_item,unknown,retained,Latino_employed_2020,house,1,1,0.0127,0.00016129,0,0
not_post,unknown,retained,Latino_employed_2020,house,1,0,0.0,0.0,1,0
D,D,retained,Latino_employed_2020,pid,140,140,92.6843,346.59314175000003,0,0
I,D,retained,Latino_employed_2020,pid,5,5,1.3675,0.8399589099999999,0,0
R,D,retained,Latino_employed_2020,pid,3,3,1.1657,0.7291237700000001,0,0
unknown,D,retained,Latino_employed_2020,pid,1,1,0.6905,0.47679025,0,0
D,I,retained,Latino_employed_2020,pid,5,5,11.1478,100.30645188,0,0
I,I,retained,Latino_employed_2020,pid,34,34,47.1802,318.37756812000003,0,0
R,I,retained,Latino_employed_2020,pid,4,4,1.6302999999999999,1.11437193,0,0
D,R,retained,Latino_employed_2020,pid,4,4,0.37320000000000003,0.04643834,0,0
I,R,retained,Latino_employed_2020,pid,5,5,1.4395,0.66271435,0,0
R,R,retained,Latino_employed_2020,pid,78,78,66.1918,260.38709998,0,0
D,unknown,retained,Latino_employed_2020,pid,2,2,1.7618,2.7809680400000003,0,0
I,unknown,retained,Latino_employed_2020,pid,1,1,7.7032,59.33929024,0,0
D,D,full,R_renter_2020,house,18,18,12.1087,18.70231649,0,0
R,D,full,R_renter_2020,house,13,13,10.2888,10.80670834,0,0
missing_item,D,full,R_renter_2020,house,11,11,0.15439999999999998,0.0033419199999999995,0,0
not_post,D,full,R_renter_2020,house,6,0,0.0,0.0,6,0
not_race,D,full,R_renter_2020,house,1,1,0.0102,0.00010404000000000001,0,0
other,D,full,R_renter_2020,house,1,1,0.1748,0.030555040000000006,0,0
unknown,D,full,R_renter_2020,house,2,2,0.0385,0.0008095700000000001,0,0
D,R,full,R_renter_2020,house,9,9,13.634,62.63857632,0,0
R,R,full,R_renter_2020,house,378,378,440.4809,1385.34952461,0,0
missing_item,R,full,R_renter_2020,house,64,64,2.9967,1.19841609,0,0
not_post,R,full,R_renter_2020,house,64,0,0.0,0.0,64,0
not_race,R,full,R_renter_2020,house,6,6,0.0533,0.00063011,0,0
not_vote,R,full,R_renter_2020,house,1,1,0.0167,0.00027889,0,0
other,R,full,R_renter_2020,house,10,10,5.7851,9.87184659,0,0
unknown,R,full,R_renter_2020,house,3,3,0.0262,0.00037294,0,0
unknown_party,R,full,R_renter_2020,house,1,1,0.2274,0.051710759999999995,0,0
D,missing_item,full,R_renter_2020,house,6,6,13.7305,42.08083165,0,0
R,missing_item,full,R_renter_2020,house,22,22,119.1915,1023.27442621,0,0
missing_item,missing_item,full,R_renter_2020,house,71,71,190.3795,1281.52785647,0,0
not_post,missing_item,full,R_renter_2020,house,18,0,0.0,0.0,18,0
not_race,missing_item,full,R_renter_2020,house,1,1,0.0311,0.0009672099999999999,0,0
R,not_post,full,R_renter_2020,house,2,2,1.8321,2.2605236100000003,0,0
missing_item,not_post,full,R_renter_2020,house,1,1,0.018,0.00032399999999999996,0,0
not_post,not_post,full,R_renter_2020,house,4,0,0.0,0.0,4,0
R,not_race,full,R_renter_2020,house,9,9,11.0619,19.69790285,0,0
missing_item,not_race,full,R_renter_2020,house,3,3,0.2466,0.03236708,0,0
R,not_vote,full,R_renter_2020,house,1,1,7.2749,52.92417001,0,0
missing_item,not_vote,full,R_renter_2020,house,1,1,0.2675,0.07155625,0,0
not_post,not_vote,full,R_renter_2020,house,1,0,0.0,0.0,1,0
R,other,full,R_renter_2020,house,5,5,4.7897,9.82212615,0,0
not_post,other,full,R_renter_2020,house,5,0,0.0,0.0,5,0
other,other,full,R_renter_2020,house,1,1,0.0702,0.00492804,0,0
D,unknown,full,R_renter_2020,house,1,1,5.2549,27.61397401,0,0
R,unknown,full,R_renter_2020,house,3,3,2.5274,3.01444588,0,0
missing_item,unknown,full,R_renter_2020,house,2,2,0.1397,0.016176489999999998,0,0
not_post,unknown,full,R_renter_2020,house,2,0,0.0,0.0,2,0
unknown,unknown,full,R_renter_2020,house,1,1,0.006,3.6e-05,0,0
R,unknown_party,full,R_renter_2020,house,1,1,0.3446,0.11874916,0,0
D,R,full,R_renter_2020,pid,20,20,22.8471,62.18686345,0,0
I,R,full,R_renter_2020,pid,59,59,79.1786,384.75956750000006,0,0
R,R,full,R_renter_2020,pid,663,663,886.0597,4025.02325263,0,0
unknown,R,full,R_renter_2020,pid,7,7,17.8661,138.36581323000001,0,0
D,D,omitted,R_renter_2020,house,9,9,8.9681,17.13339043,0,0
R,D,omitted,R_renter_2020,house,4,4,3.4747,3.40354047,0,0
missing_item,D,omitted,R_renter_2020,house,8,8,0.11019999999999999,0.0020833199999999996,0,0
not_post,D,omitted,R_renter_2020,house,4,0,0.0,0.0,4,0
not_race,D,omitted,R_renter_2020,house,1,1,0.0102,0.00010404000000000001,0,0
unknown,D,omitted,R_renter_2020,house,1,1,0.0134,0.00017956000000000002,0,0
D,R,omitted,R_renter_2020,house,4,4,8.7343,53.39222007,0,0
R,R,omitted,R_renter_2020,house,136,136,197.0426,869.28240708,0,0
missing_item,R,omitted,R_renter_2020,house,35,35,1.5593,0.46676525,0,0
not_post,R,omitted,R_renter_2020,house,42,0,0.0,0.0,42,0
not_race,R,omitted,R_renter_2020,house,3,3,0.0282,0.0003065,0,0
other,R,omitted,R_renter_2020,house,7,7,2.3275,2.08779833,0,0
unknown,R,omitted,R_renter_2020,house,1,1,0.0058,3.3639999999999996e-05,0,0
