schema_version,research_label,contract_id,source_sha256,spec_sha256,mapping_sha256,before,after,n,post_n,adult_w,post_w
1,LH270,LH-304,ee5ff210d535fc8e4443c98f967beee6e9e0da9995e4a502ae682a5bd2d33565,24ac016f6e3325f93747c4633b0134e8e6134707996d4fc6a30af2bd7180d570,06ee3f1606d8a49949c5425e3cdbfffd146c6e84167d703501e6ed5fb024a422,D,D,3875,3875,3325.4102,3281.4247
1,LH270,LH-304,ee5ff210d535fc8e4443c98f967beee6e9e0da9995e4a502ae682a5bd2d33565,24ac016f6e3325f93747c4633b0134e8e6134707996d4fc6a30af2bd7180d570,06ee3f1606d8a49949c5425e3cdbfffd146c6e84167d703501e6ed5fb024a422,D,R,168,168,196.6701,181.6645
1,LH270,LH-304,ee5ff210d535fc8e4443c98f967beee6e9e0da9995e4a502ae682a5bd2d33565,24ac016f6e3325f93747c4633b0134e8e6134707996d4fc6a30af2bd7180d570,06ee3f1606d8a49949c5425e3cdbfffd146c6e84167d703501e6ed5fb024a422,D,O,131,131,65.5694,49.1684
1,LH270,LH-304,ee5ff210d535fc8e4443c98f967beee6e9e0da9995e4a502ae682a5bd2d33565,24ac016f6e3325f93747c4633b0134e8e6134707996d4fc6a30af2bd7180d570,06ee3f1606d8a49949c5425e3cdbfffd146c6e84167d703501e6ed5fb024a422,D,A,106,106,11.3119,1.8637
1,LH270,LH-304,ee5ff210d535fc8e4443c98f967beee6e9e0da9995e4a502ae682a5bd2d33565,24ac016f6e3325f93747c4633b0134e8e6134707996d4fc6a30af2bd7180d570,06ee3f1606d8a49949c5425e3cdbfffd146c6e84167d703501e6ed5fb024a422,D,N,336,336,65.3734,13.0633
1,LH270,LH-304,ee5ff210d535fc8e4443c98f967beee6e9e0da9995e4a502ae682a5bd2d33565,24ac016f6e3325f93747c4633b0134e8e6134707996d4fc6a30af2bd7180d570,06ee3f1606d8a49949c5425e3cdbfffd146c6e84167d703501e6ed5fb024a422,D,U,641,69,134.7084,17.625799999999998
1,LH270,LH-304,ee5ff210d535fc8e4443c98f967beee6e9e0da9995e4a502ae682a5bd2d33565,24ac016f6e3325f93747c4633b0134e8e6134707996d4fc6a30af2bd7180d570,06ee3f1606d8a49949c5425e3cdbfffd146c6e84167d703501e6ed5fb024a422,R,D,161,161,144.0654,139.9917
1,LH270,LH-304,ee5ff210d535fc8e4443c98f967beee6e9e0da9995e4a502ae682a5bd2d33565,24ac016f6e3325f93747c4633b0134e8e6134707996d4fc6a30af2bd7180d570,06ee3f1606d8a49949c5425e3cdbfffd146c6e84167d703501e6ed5fb024a422,R,R,3017,3017,3283.5878,3089.0466
1,LH270,LH-304,ee5ff210d535fc8e4443c98f967beee6e9e0da9995e4a502ae682a5bd2d33565,24ac016f6e3325f93747c4633b0134e8e6134707996d4fc6a30af2bd7180d570,06ee3f1606d8a49949c5425e3cdbfffd146c6e84167d703501e6ed5fb024a422,R,O,71,71,34.039,19.2278
1,LH270,LH-304,ee5ff210d535fc8e4443c98f967beee6e9e0da9995e4a502ae682a5bd2d33565,24ac016f6e3325f93747c4633b0134e8e6134707996d4fc6a30af2bd7180d570,06ee3f1606d8a49949c5425e3cdbfffd146c6e84167d703501e6ed5fb024a422,R,A,28,28,7.353,1.0999999999999999
1,LH270,LH-304,ee5ff210d535fc8e4443c98f967beee6e9e0da9995e4a502ae682a5bd2d33565,24ac016f6e3325f93747c4633b0134e8e6134707996d4fc6a30af2bd7180d570,06ee3f1606d8a49949c5425e3cdbfffd146c6e84167d703501e6ed5fb024a422,R,N,236,236,34.9838,7.6224
1,LH270,LH-304,ee5ff210d535fc8e4443c98f967beee6e9e0da9995e4a502ae682a5bd2d33565,24ac016f6e3325f93747c4633b0134e8e6134707996d4fc6a30af2bd7180d570,06ee3f1606d8a49949c5425e3cdbfffd146c6e84167d703501e6ed5fb024a422,R,U,451,42,68.2075,7.7627
1,LH270,LH-304,ee5ff210d535fc8e4443c98f967beee6e9e0da9995e4a502ae682a5bd2d33565,24ac016f6e3325f93747c4633b0134e8e6134707996d4fc6a30af2bd7180d570,06ee3f1606d8a49949c5425e3cdbfffd146c6e84167d703501e6ed5fb024a422,O,D,53,53,35.2515,34.1359
1,LH270,LH-304,ee5ff210d535fc8e4443c98f967beee6e9e0da9995e4a502ae682a5bd2d33565,24ac016f6e3325f93747c4633b0134e8e6134707996d4fc6a30af2bd7180d570,06ee3f1606d8a49949c5425e3cdbfffd146c6e84167d703501e6ed5fb024a422,O,R,48,48,40.1986,37.7045
1,LH270,LH-304,ee5ff210d535fc8e4443c98f967beee6e9e0da9995e4a502ae682a5bd2d33565,24ac016f6e3325f93747c4633b0134e8e6134707996d4fc6a30af2bd7180d570,06ee3f1606d8a49949c5425e3cdbfffd146c6e84167d703501e6ed5fb024a422,O,O,29,29,8.7499,5.7084
1,LH270,LH-304,ee5ff210d535fc8e4443c98f967beee6e9e0da9995e4a502ae682a5bd2d33565,24ac016f6e3325f93747c4633b0134e8e6134707996d4fc6a30af2bd7180d570,06ee3f1606d8a49949c5425e3cdbfffd146c6e84167d703501e6ed5fb024a422,O,A,7,7,0.6809999999999999,0.09480000000000001
1,LH270,LH-304,ee5ff210d535fc8e4443c98f967beee6e9e0da9995e4a502ae682a5bd2d33565,24ac016f6e3325f93747c4633b0134e8e6134707996d4fc6a30af2bd7180d570,06ee3f1606d8a49949c5425e3cdbfffd146c6e84167d703501e6ed5fb024a422,O,N,7,7,2.1473,0.8994000000000001
1,LH270,LH-304,ee5ff210d535fc8e4443c98f967beee6e9e0da9995e4a502ae682a5bd2d33565,24ac016f6e3325f93747c4633b0134e8e6134707996d4fc6a30af2bd7180d570,06ee3f1606d8a49949c5425e3cdbfffd146c6e84167d703501e6ed5fb024a422,O,U,21,3,11.6837,0.3707
1,LH270,LH-304,ee5ff210d535fc8e4443c98f967beee6e9e0da9995e4a502ae682a5bd2d33565,24ac016f6e3325f93747c4633b0134e8e6134707996d4fc6a30af2bd7180d570,06ee3f1606d8a49949c5425e3cdbfffd146c6e84167d703501e6ed5fb024a422,A,D,58,58,35.0403,33.3572
1,LH270,LH-304,ee5ff210d535fc8e4443c98f967beee6e9e0da9995e4a502ae682a5bd2d33565,24ac016f6e3325f93747c4633b0134e8e6134707996d4fc6a30af2bd7180d570,06ee3f1606d8a49949c5425e3cdbfffd146c6e84167d703501e6ed5fb024a422,A,R,52,52,51.9877,41.8225
1,LH270,LH-304,ee5ff210d535fc8e4443c98f967beee6e9e0da9995e4a502ae682a5bd2d33565,24ac016f6e3325f93747c4633b0134e8e6134707996d4fc6a30af2bd7180d570,06ee3f1606d8a49949c5425e3cdbfffd146c6e84167d703501e6ed5fb024a422,A,O,7,7,1.3041,0.8207
1,LH270,LH-304,ee5ff210d535fc8e4443c98f967beee6e9e0da9995e4a502ae682a5bd2d33565,24ac016f6e3325f93747c4633b0134e8e6134707996d4fc6a30af2bd7180d570,06ee3f1606d8a49949c5425e3cdbfffd146c6e84167d703501e6ed5fb024a422,A,A,14,14,1.2502,0.1571
