group,cohort,before,after,n,target_n,unweighted_share,fixed_weight_mass,weighted_share
all,full,D,D,4971,11009,0.4515396493777818,4170.161999999999,0.37876964702656124
all,full,D,I,188,11009,0.017076937051503316,163.35299999999998,0.014837111400163796
all,full,D,R,70,11009,0.006358434008538468,93.98519999999999,0.008536536717211649
all,full,D,不确定,23,11009,0.0020891997456626396,40.5926,0.003686965823843388
all,full,I,D,216,11009,0.019620310654918705,249.37390000000002,0.022650262527124126
all,full,I,I,1267,11009,0.11508765555454628,1551.8791,0.14095488351169513
all,full,I,R,158,11009,0.01435189390498683,199.1927,0.018092378346277128
all,full,I,不确定,52,11009,0.004723408120628577,95.3959,0.008664668511866239
all,full,R,D,79,11009,0.007175946952493415,87.1082,0.0079119089779052
all,full,R,I,236,11009,0.021437006085929695,240.8066,0.021872107338675652
all,full,R,R,3557,11009,0.3230992824053048,3757.7688,0.34131258257674996
all,full,R,不确定,21,11009,0.0019075302025615406,42.343199999999996,0.0038459702328051256
all,full,不确定,D,32,11009,0.002906712689617586,39.016,0.003543765577545504
all,full,不确定,I,60,11009,0.005450086293032973,111.7204,0.010147398703855207
all,full,不确定,R,20,11009,0.001816695431010991,19.9572,0.0018126829604313906
all,full,不确定,不确定,59,11009,0.005359251521482424,147.1028,0.013361129767289337
all,retained,D,D,2774,6175,0.4492307692307692,2172.3916999999997,0.3725883200970558
all,retained,D,I,99,6175,0.01603238866396761,86.5558,0.014845241821102865
all,retained,D,R,29,6175,0.004696356275303644,43.4732,0.0074561169411774715
all,retained,D,不确定,10,6175,0.0016194331983805667,8.5358,0.0014639806360355959
all,retained,I,D,103,6175,0.016680161943319838,119.10810000000001,0.020428308066612545
all,retained,I,I,681,6175,0.1102834008097166,807.9709,0.1385756170575989
all,retained,I,R,86,6175,0.013927125506072875,121.4972,0.02083806416885869
all,retained,I,不确定,25,6175,0.004048582995951417,37.9926,0.006516135653675811
all,retained,R,D,42,6175,0.006801619433198381,28.1003,0.004819500816184898
all,retained,R,I,132,6175,0.02137651821862348,105.7197,0.018132054833465215
all,retained,R,R,2110,6175,0.3417004048582996,2153.7359,0.3693886516477303
all,retained,R,不确定,14,6175,0.0022672064777327933,29.191699999999997,0.005006687543400771
all,retained,不确定,D,19,6175,0.003076923076923077,13.7331,0.002355372955404349
all,retained,不确定,I,24,6175,0.0038866396761133605,35.4403,0.006078389012780563
all,retained,不确定,R,7,6175,0.0011336032388663967,3.8724,0.000664157854563631
all,retained,不确定,不确定,20,6175,0.0032388663967611335,63.2229,0.010843400894352595
all,omitted,D,D,2197,4834,0.45448903599503515,1997.7703,0.3857283225878202
all,omitted,D,I,89,4834,0.018411253620190318,76.79719999999999,0.014827958517273653
all,omitted,D,R,41,4834,0.00848158874637981,50.512,0.009752827454966157
all,omitted,D,不确定,13,4834,0.0026892842366570127,32.0568,0.006189508219004576
all,omitted,I,D,113,4834,0.023376086057095572,130.2658,0.025151644573232705
all,omitted,I,I,586,4834,0.12122465866776996,743.9082,0.14363336072486646
all,omitted,I,R,72,4834,0.014894497310715763,77.69550000000001,0.015001401756559295
all,omitted,I,不确定,27,4834,0.005585436491518411,57.4033,0.011083395633624857
all,omitted,R,D,37,4834,0.0076541166735622675,59.0079,0.011393210864347036
all,omitted,R,I,104,4834,0.0215142738932561,135.0869,0.02608249974513517
all,omitted,R,R,1447,4834,0.29933802234174595,1604.0329,0.30970573538543283
all,omitted,R,不确定,7,4834,0.0014480761274306992,13.1515,0.002539283937955088
all,omitted,不确定,D,13,4834,0.0026892842366570127,25.2829,0.00488160756377027
all,omitted,不确定,I,36,4834,0.007447248655357882,76.2801,0.014728117151321744
all,omitted,不确定,R,13,4834,0.0026892842366570127,16.0848,0.0031056437885579593
all,omitted,不确定,不确定,39,4834,0.008067852709971039,83.87989999999999,0.016195482096131922
Latino_employed_2020,full,D,D,276,584,0.4726027397260274,183.7072,0.3767821847464778
Latino_employed_2020,full,D,I,11,584,0.018835616438356163,3.8147,0.007823923069713048
Latino_employed_2020,full,D,R,9,584,0.015410958904109588,5.703,0.011696813187556955
Latino_employed_2020,full,D,不确定,3,584,0.005136986301369863,0.7473,0.0015327070831249012
Latino_employed_2020,full,I,D,12,584,0.02054794520547945,17.598,0.03609337514897901
Latino_employed_2020,full,I,I,63,584,0.10787671232876712,70.2813,0.14414645566870884
Latino_employed_2020,full,I,R,13,584,0.02226027397260274,10.0204,0.02055177044793893
Latino_employed_2020,full,I,不确定,3,584,0.005136986301369863,5.0386,0.010334133425710058
Latino_employed_2020,full,R,D,8,584,0.0136986301369863,3.4017,0.006976862952851568
Latino_employed_2020,full,R,I,10,584,0.017123287671232876,2.3649,0.0048503933907160166
Latino_employed_2020,full,R,R,159,584,0.2722602739726027,142.5245,0.29231675454146255
Latino_employed_2020,full,R,不确定,1,584,0.0017123287671232876,0.104,0.00021330327397964634
Latino_employed_2020,full,不确定,D,3,584,0.005136986301369863,1.8178,0.0037282951100019346
Latino_employed_2020,full,不确定,I,8,584,0.0136986301369863,25.6104,0.05252675161469553
Latino_employed_2020,full,不确定,R,1,584,0.0017123287671232876,6.4044,0.013135379691108146
Latino_employed_2020,full,不确定,不确定,4,584,0.00684931506849315,8.4305,0.017290896646975085
Latino_employed_2020,retained,D,D,140,282,0.49645390070921985,92.6843,0.39721422944957435
Latino_employed_2020,retained,D,I,5,282,0.01773049645390071,1.3675,0.005860652330246794
Latino_employed_2020,retained,D,R,3,282,0.010638297872340425,1.1657,0.00499580433006851
Latino_employed_2020,retained,D,不确定,1,282,0.0035460992907801418,0.6905,0.002959254430738875
Latino_employed_2020,retained,I,D,5,282,0.01773049645390071,11.1478,0.047775780656033065
Latino_employed_2020,retained,I,I,34,282,0.12056737588652482,47.1802,0.2021987196135355
Latino_employed_2020,retained,I,R,4,282,0.014184397163120567,1.6302999999999999,0.006986926138209395
Latino_employed_2020,retained,I,不确定,0,282,0.0,0.0,0.0
Latino_employed_2020,retained,R,D,4,282,0.014184397163120567,0.3732,0.0015994116633624158
Latino_employed_2020,retained,R,I,5,282,0.01773049645390071,1.4395,0.006169220496811891
Latino_employed_2020,retained,R,R,78,282,0.2765957446808511,66.1918,0.2836761439950492
Latino_employed_2020,retained,R,不确定,0,282,0.0,0.0,0.0
Latino_employed_2020,retained,不确定,D,2,282,0.0070921985815602835,1.7618,0.007550491609088704
Latino_employed_2020,retained,不确定,I,1,282,0.0035460992907801418,7.7032,0.03301336528728125
Latino_employed_2020,retained,不确定,R,0,282,0.0,0.0,0.0
Latino_employed_2020,retained,不确定,不确定,0,282,0.0,0.0,0.0
Latino_employed_2020,omitted,D,D,136,302,0.4503311258278146,91.02289999999999,0.35802958625732545
Latino_employed_2020,omitted,D,I,6,302,0.019867549668874173,2.4472,0.009625819474977471
Latino_employed_2020,omitted,D,R,6,302,0.019867549668874173,4.5373,0.01784702137292223
Latino_employed_2020,omitted,D,不确定,2,302,0.006622516556291391,0.0568,0.00022341718951402435
Latino_employed_2020,omitted,I,D,7,302,0.023178807947019868,6.4502,0.025371224574002812
Latino_employed_2020,omitted,I,I,29,302,0.09602649006622517,23.1011,0.09086589501201457
Latino_employed_2020,omitted,I,R,9,302,0.029801324503311258,8.3901,0.03300162960812704
Latino_employed_2020,omitted,I,不确定,3,302,0.009933774834437087,5.0386,0.019818835406432447
Latino_employed_2020,omitted,R,D,4,302,0.013245033112582781,3.0285,0.011912305606394768
Latino_employed_2020,omitted,R,I,5,302,0.016556291390728478,0.9254,0.003639969492540108
Latino_employed_2020,omitted,R,R,81,302,0.2682119205298013,76.3327,0.30024713559889377
Latino_employed_2020,omitted,R,不确定,1,302,0.0033112582781456954,0.104,0.00040907372727919946
