cohort,convention,group,lower_fraction,lower_pp,n,unknown_endpoints,unknown_people,upper_fraction,upper_pp,weight_total,weighted
full,resolved,all,-259/11009,-2.3526205831592333,11009,326,267,67/11009,0.608592969388682,11009.757599999999,False
retained,resolved,all,-136/6175,-2.2024291497975708,6175,139,119,3/6175,0.048582995951417005,5830.5416,False
omitted,resolved,all,-123/4834,-2.5444766239139427,4834,187,148,32/2417,1.3239553165080677,5179.216,False
full,resolved,all,,-3.405336553458725,11009,326,267,,2.437034581033828,11009.757599999999,True
retained,resolved,all,,-1.8941224945552233,6175,139,119,,2.483030049901368,5830.5416,True
omitted,resolved,all,,-5.106597214713577,4834,187,148,,2.385254833936256,5179.216,True
full,resolved,Latino_employed_2020,-3/146,-2.054794520547945,584,27,23,15/584,2.5684931506849313,487.5687,False
retained,resolved,Latino_employed_2020,-5/282,-1.773049645390071,282,4,4,-1/282,-0.3546099290780142,233.3358,False
omitted,resolved,Latino_employed_2020,-7/302,-2.3178807947019866,302,23,19,8/151,5.298013245033113,254.2329,False
full,resolved,Latino_employed_2020,,-5.33379193537239,584,27,23,,6.271444413884648,487.5687,True
retained,resolved,Latino_employed_2020,,-3.6349758588266354,282,4,4,,0.7173352738842473,233.3358,True
omitted,resolved,Latino_employed_2020,,-6.892970972678988,302,23,19,,11.3690242293582,254.2329,True
full,resolved,R_renter_2020,-86/749,-11.481975967957277,749,7,7,-79/749,-10.54739652870494,1005.9515,False
retained,resolved,R_renter_2020,-44/401,-10.972568578553615,401,4,4,-40/401,-9.975062344139651,465.0075,False
omitted,resolved,R_renter_2020,-7/58,-12.068965517241379,348,3,3,-13/116,-11.206896551724139,540.9440000000001,False
full,resolved,R_renter_2020,,-11.918248543791625,749,7,7,,-10.142208645247807,1005.9515,True
retained,resolved,R_renter_2020,,-9.28808675128896,401,4,4,,-8.158922167922023,465.0075,True
omitted,resolved,R_renter_2020,,-14.17919414948682,348,3,3,,-11.847085835132656,540.9440000000001,True
full,literal,all,-88/11009,-0.7993459896448359,11009,0,0,-88/11009,-0.7993459896448359,11009.757599999999,False
retained,literal,all,-66/6175,-1.068825910931174,6175,0,0,-66/6175,-1.068825910931174,5830.5416,False
omitted,literal,all,-11/2417,-0.4551096400496483,4834,0,0,-11/2417,-0.4551096400496483,5179.216,False
full,literal,all,,-0.5188388525465812,11009,0,0,,-0.5188388525465812,11009.757599999999,True
retained,literal,all,,0.10000957715489056,6175,0,0,,0.10000957715489056,5830.5416,True
omitted,literal,all,,-1.2155121547353884,4834,0,0,,-1.2155121547353884,5179.216,True
full,literal,Latino_employed_2020,1/146,0.684931506849315,584,0,0,1/146,0.684931506849315,487.5687,False
retained,literal,Latino_employed_2020,-1/141,-0.7092198581560284,282,0,0,-1/141,-0.7092198581560284,233.3358,False
omitted,literal,Latino_employed_2020,3/151,1.9867549668874174,302,0,0,3/151,1.9867549668874174,254.2329,False
full,literal,Latino_employed_2020,,3.33434037090568,584,0,0,,3.33434037090568,487.5687,True
retained,literal,Latino_employed_2020,,0.42140983081035993,282,0,0,,0.42140983081035993,233.3358,True
omitted,literal,Latino_employed_2020,,6.007837695278621,302,0,0,,6.007837695278621,254.2329,True
full,literal,R_renter_2020,-86/749,-11.481975967957277,749,0,0,-86/749,-11.481975967957277,1005.9515,False
retained,literal,R_renter_2020,-44/401,-10.972568578553615,401,0,0,-44/401,-10.972568578553615,465.0075,False
omitted,literal,R_renter_2020,-7/58,-12.068965517241379,348,0,0,-7/58,-12.068965517241379,540.9440000000001,False
full,literal,R_renter_2020,,-11.918248543791625,749,0,0,,-11.918248543791625,1005.9515,True
retained,literal,R_renter_2020,,-9.28808675128896,401,0,0,,-9.28808675128896,465.0075,True
omitted,literal,R_renter_2020,,-14.17919414948682,348,0,0,,-14.17919414948682,540.9440000000001,True
