group,method,outcome,reference_pp,estimate_pp,error_pp
all,unadjusted,D_to_I_pp,1.7501396388009682,1.6347424042272125,-0.11539723457375572
all,unadjusted,D_to_R_pp,0.6516477378514243,0.47886393659180976,-0.1727838012596145
all,unadjusted,I_to_D_pp,2.010798733941538,1.7007926023778073,-0.3100061315637308
all,unadjusted,I_to_R_pp,1.4708620368646435,1.4200792602377807,-0.0507827766268627
all,unadjusted,R22_pp,35.2355241109663,36.74042272126816,1.5048986103018578
all,unadjusted,R_change_pp,-0.8099050456153389,-0.9742404227212675,-0.1643353771059286
all,unadjusted,R_nonzero_change_pp,5.054924595047478,4.7721268163804496,-0.28279777866702815
all,unadjusted,R_to_D_pp,0.7354310184323217,0.6935270805812417,-0.04190393785108004
all,unadjusted,R_to_I_pp,2.1969838018990875,2.179656538969617,-0.01732726292947051
all,unadjusted,gross_category_change_pp,8.815862967789984,8.10766182298547,-0.708201144804514
all,baseline_standardization,D_to_I_pp,1.7501396388009682,1.6837870601549307,-0.0663525786460375
all,baseline_standardization,D_to_R_pp,0.6516477378514243,0.4882049517190253,-0.163442786132399
all,baseline_standardization,I_to_D_pp,2.010798733941538,1.8222800762993787,-0.18851865764215936
all,baseline_standardization,I_to_R_pp,1.4708620368646435,1.5064128888810013,0.03555085201635788
all,baseline_standardization,R22_pp,35.2355241109663,35.274930112121936,0.03940600115563342
all,baseline_standardization,R_change_pp,-0.8099050456153389,-0.7704990444597104,0.039406001155628534
all,baseline_standardization,R_nonzero_change_pp,5.054924595047478,4.759734725659766,-0.29518986938771175
all,baseline_standardization,R_to_D_pp,0.7354310184323217,0.6661593515686299,-0.0692716668636918
all,baseline_standardization,R_to_I_pp,2.1969838018990875,2.098957533491109,-0.09802626840797846
all,baseline_standardization,gross_category_change_pp,8.815862967789984,8.265801862114074,-0.5500611056759102
all,crossfit_aipw,D_to_I_pp,1.7501396388009682,1.7468419760406535,-0.0032976627603147346
all,crossfit_aipw,D_to_R_pp,0.6516477378514243,0.5099199431237232,-0.14172779472770103
all,crossfit_aipw,I_to_D_pp,2.010798733941538,1.7928540926960321,-0.21794464124550594
all,crossfit_aipw,I_to_R_pp,1.4708620368646435,1.4684362186849211,-0.0024258181797223166
all,crossfit_aipw,R22_pp,35.2355241109663,35.20722724981816,-0.028296861148142227
all,crossfit_aipw,R_change_pp,-0.8099050456153389,-0.838201906763486,-0.028296861148147112
all,crossfit_aipw,R_nonzero_change_pp,5.054924595047478,4.794914230380768,-0.26001036466670957
all,crossfit_aipw,R_to_D_pp,0.7354310184323217,0.6698778852272234,-0.06555313320509837
all,crossfit_aipw,R_to_I_pp,2.1969838018990875,2.1466801833449005,-0.05030361855418697
all,crossfit_aipw,gross_category_change_pp,8.815862967789984,8.334610299117454,-0.48125266867253025
Latino_employed_2020,unadjusted,D_to_I_pp,1.9607843137254901,1.7985611510791366,-0.1622231626463535
Latino_employed_2020,unadjusted,D_to_R_pp,1.6042780748663104,1.079136690647482,-0.5251413842188284
Latino_employed_2020,unadjusted,I_to_D_pp,2.13903743315508,1.7985611510791366,-0.34047628207594327
Latino_employed_2020,unadjusted,I_to_R_pp,2.3172905525846703,1.4388489208633095,-0.8784416317213608
Latino_employed_2020,unadjusted,R22_pp,32.263814616755795,30.575539568345324,-1.6882750484104712
Latino_employed_2020,unadjusted,R_change_pp,0.7130124777183666,-0.7194244604316558,-1.4324369381500224
Latino_employed_2020,unadjusted,R_nonzero_change_pp,7.130124777183601,5.755395683453238,-1.3747290937303633
Latino_employed_2020,unadjusted,R_to_D_pp,1.4260249554367201,1.4388489208633095,0.012823965426589368
Latino_employed_2020,unadjusted,R_to_I_pp,1.7825311942959003,1.7985611510791366,0.016029956783236265
Latino_employed_2020,unadjusted,gross_category_change_pp,11.229946524064172,9.352517985611511,-1.8774285384526603
Latino_employed_2020,baseline_standardization,D_to_I_pp,1.9607843137254901,1.8396080887015924,-0.12117622502389769
Latino_employed_2020,baseline_standardization,D_to_R_pp,1.6042780748663104,0.5302762450209679,-1.0740018298453424
Latino_employed_2020,baseline_standardization,I_to_D_pp,2.13903743315508,1.8963129282415176,-0.24272450491356223
Latino_employed_2020,baseline_standardization,I_to_R_pp,2.3172905525846703,1.5400655363558895,-0.7772250162287808
Latino_employed_2020,baseline_standardization,R22_pp,32.263814616755795,31.20038889840243,-1.0634257183533649
Latino_employed_2020,baseline_standardization,R_change_pp,0.7130124777183666,-0.35041324063500023,-1.0634257183533669
Latino_employed_2020,baseline_standardization,R_nonzero_change_pp,7.130124777183601,4.491096803388711,-2.6390279737948905
Latino_employed_2020,baseline_standardization,R_to_D_pp,1.4260249554367201,0.5831685862714424,-0.8428563691652777
Latino_employed_2020,baseline_standardization,R_to_I_pp,1.7825311942959003,1.8375864357404108,0.05505524144451046
Latino_employed_2020,baseline_standardization,gross_category_change_pp,11.229946524064172,8.22701782033182,-3.0029287037323513
Latino_employed_2020,crossfit_aipw,D_to_I_pp,1.9607843137254901,1.7981570116342223,-0.16262730209126786
Latino_employed_2020,crossfit_aipw,D_to_R_pp,1.6042780748663104,1.1171420908502918,-0.48713598401601854
Latino_employed_2020,crossfit_aipw,I_to_D_pp,2.13903743315508,1.6874110849552457,-0.45162634819983416
Latino_employed_2020,crossfit_aipw,I_to_R_pp,2.3172905525846703,1.6466756774686115,-0.6706148751160588
Latino_employed_2020,crossfit_aipw,R22_pp,32.263814616755795,31.123164556143955,-1.14065006061184
Latino_employed_2020,crossfit_aipw,R_change_pp,0.7130124777183666,-0.4276375828934753,-1.140650060611842
Latino_employed_2020,crossfit_aipw,R_nonzero_change_pp,7.130124777183601,5.955273119531284,-1.1748516576523178
Latino_employed_2020,crossfit_aipw,R_to_D_pp,1.4260249554367201,1.404463895085925,-0.02156106035079519
Latino_employed_2020,crossfit_aipw,R_to_I_pp,1.7825311942959003,1.7869914561264548,0.0044602618305544794
Latino_employed_2020,crossfit_aipw,gross_category_change_pp,11.229946524064172,9.440841216120752,-1.7891053079434194
R_renter_2020,unadjusted,D_to_I_pp,0.0,0.0,0.0
R_renter_2020,unadjusted,D_to_R_pp,0.0,0.0,0.0
R_renter_2020,unadjusted,I_to_D_pp,0.0,0.0,0.0
R_renter_2020,unadjusted,I_to_R_pp,0.0,0.0,0.0
R_renter_2020,unadjusted,R22_pp,89.35309973045821,89.92443324937027,0.5713335189120556
