model,delta,tau_loglik_loss,objective,attained_value,g01,g12,sum,loglik,fixed_reference_loglik,actual_maximum_drift,weighted_average_drift,minimum_middle_state_mass,minimum_parameter,near_boundary_count,status,global_certificate
hmm3,0,2.0,g01_min,0.046700299007576745,0.046700299007576745,0.0230093777222171,0.06970967672979385,-10304.952414085097,-10303.05290322578,0.0,0.0,0.15349722379959208,0.0009796128288479269,0,locally_searched_attained_extreme,False
hmm3,0,2.0,g01_max,0.05479777588761213,0.05479777588761213,0.02638332575732556,0.08118110164493769,-10304.938979973256,-10303.05290322578,0.0,0.0,0.15550638218999374,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0,2.0,g12_min,0.01931640311305312,0.04970029900757675,0.01931640311305312,0.06901670212062987,-10304.915291044565,-10303.05290322578,0.0,0.0,0.15416389046625875,0.0,1,locally_searched_attained_extreme,False
hmm3,0,2.0,g12_max,0.027005351286085534,0.05479777588761213,0.027005351286085534,0.08180312717369767,-10305.020299308802,-10303.05290322578,0.0,0.0,0.15550638218999374,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0,2.0,sum_min,0.0672147488760853,0.045700299007576745,0.02151444986850857,0.0672147488760853,-10304.990763497775,-10303.05290322578,0.0,0.0,0.15316389046625875,0.00021400413093293838,0,locally_searched_attained_extreme,False
hmm3,0,2.0,sum_max,0.08180312717369767,0.05479777588761213,0.027005351286085534,0.08180312717369767,-10305.020299308802,-10303.05290322578,0.0,0.0,0.15550638218999374,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0,10.0,g01_min,0.039700299007576746,0.039700299007576746,0.019080860438452644,0.05878115944602939,-10312.027444494843,-10303.05290322578,0.0,0.0,0.15149722379959207,0.0,2,locally_searched_attained_extreme,False
hmm3,0,10.0,g01_max,0.060797775887612135,0.060797775887612135,0.030005203350239793,0.09080297923785192,-10312.623378459135,-10303.05290322578,0.0,0.0,0.15550638218999374,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0,10.0,g12_min,0.016983935529572045,0.044700299007576744,0.016983935529572045,0.06168423453714879,-10312.886522557226,-10303.05290322578,0.0,0.0,0.14649722379959204,0.0,2,locally_searched_attained_extreme,False
hmm3,0,10.0,g12_max,0.033869760565028946,0.05779777588761213,0.033869760565028946,0.09166753645264109,-10312.363188740372,-10303.05290322578,0.0,0.0,0.15850638218999374,0.0009798564246221138,0,locally_searched_attained_extreme,False
