policy,PID_path,interval,oppose_to_support_n,pair_known_denominator,pair_oppose_to_support_n,pair_support_to_oppose_n,support_to_oppose_n,triple_complete_denominator
conditional_legalization,stable,2020-2022,361,5342,361,416,416,5342
conditional_legalization,stable,2022-2024,238,5347,239,593,593,5342
conditional_legalization,return,2020-2022,9,137,9,8,8,137
conditional_legalization,return,2022-2024,6,137,6,24,24,137
conditional_legalization,nonreturn_change,2020-2022,66,689,66,59,59,689
conditional_legalization,nonreturn_change,2022-2024,40,690,40,96,96,689
drug_price_negotiation,stable,2020-2022,247,5335,247,493,493,5335
drug_price_negotiation,stable,2022-2024,352,5348,352,199,199,5335
drug_price_negotiation,return,2020-2022,7,136,7,16,16,136
drug_price_negotiation,return,2022-2024,4,137,4,9,9,136
drug_price_negotiation,nonreturn_change,2020-2022,40,690,40,49,49,690
drug_price_negotiation,nonreturn_change,2022-2024,44,690,44,25,25,690
medicare_single_payer,stable,2020-2022,368,5338,368,180,180,5338
medicare_single_payer,stable,2022-2024,204,5348,206,326,324,5338
medicare_single_payer,return,2020-2022,18,136,18,4,4,136
medicare_single_payer,return,2022-2024,7,137,7,16,15,136
medicare_single_payer,nonreturn_change,2020-2022,64,689,64,38,38,689
medicare_single_payer,nonreturn_change,2022-2024,38,690,38,49,49,689
