policy,PID20,policy20,return_n,return_events,stable_n,stable_events,difference,simultaneous_lower,simultaneous_upper
conditional_legalization,0,1,4,1,241,53,0.030082987551867224,-0.3147449953320645,0.8015711724587553
conditional_legalization,0,2,44,0,2472,65,-0.026294498381877023,-0.038225996767668954,0.13517547359072996
conditional_legalization,1,1,13,1,222,29,-0.0537075537075537,-0.2168696222029322,0.4699180670374072
conditional_legalization,1,2,24,1,352,18,-0.009469696969696975,-0.09978046363481216,0.31530265772053
conditional_legalization,2,1,29,5,1311,113,0.08622004787080145,-0.0887151733008367,0.4117937063050399
conditional_legalization,2,2,23,1,736,59,-0.03668478260869565,-0.11699663579137543,0.2970284818205476
drug_price_negotiation,0,1,2,1,131,5,0.4618320610687023,-0.12333265398191515,0.9943886491452162
drug_price_negotiation,0,2,45,0,2577,43,-0.016686069072564997,-0.026378531091270266,0.13947154887224789
drug_price_negotiation,1,1,6,0,56,5,-0.08928571428571429,-0.27207872399568767,0.6898850187928645
drug_price_negotiation,1,2,31,0,516,32,-0.06201550387596899,-0.10327235796965119,0.17585328535344386
drug_price_negotiation,2,1,4,0,237,23,-0.0970464135021097,-0.1729911820155799,0.7915669979298228
drug_price_negotiation,2,2,48,4,1810,223,-0.03987108655616943,-0.14135733500339415,0.18325151558896124
medicare_single_payer,0,1,7,2,332,53,0.12607573149741824,-0.22673583232959,0.7651771382641032
medicare_single_payer,0,2,40,2,2377,45,0.031068573832562056,-0.028664193300111357,0.24744440409733787
medicare_single_payer,1,1,19,1,259,25,-0.04389351757772811,-0.16841789398346446,0.35899846293779136
medicare_single_payer,1,2,18,0,313,7,-0.022364217252396165,-0.06309627665088414,0.3277786416096058
medicare_single_payer,2,1,46,7,1768,84,0.1046626008262837,-0.03318896943742056,0.34636103583394384
medicare_single_payer,2,2,6,1,281,20,0.09549228944246736,-0.13326025935256103,0.8003067351913549
