fold,feature,target,n_test,n_train,target_n,total_band,target_band,shrink_weight,changed,target_probability,delta_full_log,delta_event_log,delta_dest_log,delta_binary_brier,delta_multiclass_brier
0,"[0, 1, 0, 1]",0,1,0,0,0-0,0-0,0.0,0,0.9934472402471094,-1.1188966420050406e-16,-1.1188966420050406e-16,0.0,0.0,1.4501204056993622e-18
0,"[0, 1, 1, 1]",0,15,55,50,50+,50+,0.7333333333333333,0,0.9315859307325625,-0.06429252001281112,-0.06429252001281112,0.0,0.004637546213350629,0.0070401226962093525
0,"[0, 1, 1, 2]",0,12,49,48,20-49,20-49,0.7101449275362319,0,0.9836078957237998,-0.009953617964256168,-0.009953617964256168,0.0,0.0002257624222227177,0.00044938744780640604
0,"[0, 1, 1, 2]",2,1,49,0,20-49,0-0,0.7101449275362319,1,0.0006331168843372431,-1.2383742310432684,0.9169134750952841,-2.1552877061385525,-0.01945292662439646,-0.01612702886556039
0,"[0, 1, 2, 1]",0,8,53,53,50+,50+,0.726027397260274,0,0.9982047233553725,0.004777433250270226,0.004777433250270226,0.0,-3.971564214835604e-05,-5.6867412652252344e-05
0,"[0, 1, 2, 1]",1,1,53,0,50+,0-0,0.726027397260274,1,0.0009969022134142394,-1.2947271675943997,-1.2947271675943997,0.0,0.009475250574377592,0.01474168053496916
0,"[0, 1, 2, 2]",0,318,1218,1215,50+,50+,0.9838449111470113,0,0.9974708762560115,0.004041995955170685,0.004041995955170685,0.0,-3.654219346669451e-05,-5.295261086793598e-05
0,"[0, 1, 2, 2]",1,3,1218,1,50+,1-4,0.9838449111470113,1,0.0008665378526488203,-1.4348740591821088,-0.9520134007309684,-0.4828606584511398,0.00801072982433726,0.013538629859562334
0,"[0, 1, 2, 2]",2,1,1218,1,50+,1-4,0.9838449111470113,1,0.0008430412479961791,-0.9520134007309693,-0.9520134007309684,2.220446049250313e-16,0.00801072982433726,0.010676743412870726
0,"[0, 2, 1, 1]",0,4,36,30,20-49,20-49,0.6428571428571429,0,0.8808875626674963,-0.09273596704100742,-0.09273596704100742,0.0,0.013064529263945204,0.022280821134850328
0,"[0, 2, 1, 2]",0,2,25,25,20-49,20-49,0.5555555555555556,0,0.9851045224306622,0.019081789520714758,0.019081789520714758,0.0,-0.0009013682113257583,-0.0013160650664428453
0,"[0, 2, 1, 2]",1,1,25,0,20-49,0-0,0.5555555555555556,1,0.0053127423319968975,-0.8109302162163292,-0.8109302162163288,2.220446049250313e-16,0.0363373257120192,0.04920448468689442
0,"[0, 2, 2, 1]",0,9,40,39,20-49,20-49,0.6666666666666666,0,0.9721617251563299,0.005856214361390489,0.005856214361390489,0.0,-0.00034827391707269184,-0.000316627997128244
0,"[0, 2, 2, 2]",0,76,323,316,50+,50+,0.9416909620991254,0,0.977637619560874,0.011473109060003067,0.011473109060003067,0.0,-0.0006231674044402029,-0.000929577459250561
0,"[0, 2, 2, 2]",1,3,323,4,50+,1-4,0.9416909620991254,1,0.012358814591661401,0.03333117574545774,-0.4046077619292654,0.43793893767472347,0.021681720779328506,0.02056502203518118
0,"[0, 3, 1, 1]",0,9,14,13,5-19,5-19,0.4117647058823529,0,0.9424737233087628,-0.010272654759341485,-0.010272654759341485,0.0,0.0010249419936920051,0.0009889185628532164
0,"[0, 3, 1, 1]",1,2,14,0,5-19,0-0,0.4117647058823529,1,0.023648469385499065,-0.5306282510621703,0.1853276944993958,-0.7159559455615667,-0.018438270638575727,0.014633563070284294
0,"[0, 3, 1, 1]",2,1,14,1,5-19,1-4,0.4117647058823529,1,0.03242136890838422,1.8463809126191575,0.1853276944993958,1.6610532181197621,-0.018438270638575727,-0.07308437759767661
0,"[0, 3, 1, 2]",0,7,26,26,20-49,20-49,0.5652173913043478,0,0.9792197085325638,0.027975344819018026,0.027975344819018026,0.0,-0.001852510002793179,-0.0031894166593346178
0,"[0, 3, 2, 1]",0,1,12,11,5-19,5-19,0.375,0,0.9388783310155604,-0.014094796034768375,-0.014094796034768375,0.0,0.0014515279031786228,0.0029939175657662112
0,"[0, 3, 2, 1]",2,1,12,0,5-19,0-0,0.375,1,0.003197704465158235,-0.4700036292457357,0.2459523163158308,-0.7159559455615665,-0.02520246931549386,-0.01982283429471643
0,"[0, 3, 2, 2]",0,91,352,335,50+,50+,0.946236559139785,0,0.9517314693346719,-0.0004977689388302314,-0.0004977689388302314,0.0,4.552053632494047e-05,0.00021861134707007544
0,"[0, 3, 2, 2]",1,3,352,15,50+,5-19,0.946236559139785,1,0.042483999890072496,0.05520088739528495,0.009865674442421035,0.0453352129528633,-0.000902200044124557,-0.005292313102827517
0,"[0, 4, 1, 1]",1,3,9,6,5-19,5-19,0.3103448275862069,0,0.6243448022032413,0.03097864130096334,0.03097864130096334,0.0,-0.014671291422383381,-0.03972918342530474
0,"[0, 4, 1, 2]",0,1,5,1,5-19,1-4,0.2,1,0.2850938535149062,-0.07196632743882736,0.0026819654010884486,-0.07464829283991609,-0.001282103426279546,0.032699924154260485
0,"[0, 4, 2, 1]",0,1,3,1,1-4,1-4,0.13043478260869565,1,0.3098846233857676,0.01141528150022375,-0.02048803801176957,0.03190331951199313,0.009754138361746323,0.0037387507793376074
0,"[0, 4, 2, 2]",0,9,58,24,50+,20-49,0.7435897435897436,1,0.38624802997272634,0.23169496372944343,0.12523529212815065,0.10645967160129269,-0.060975952652770615,-0.16824934251061796
0,"[0, 4, 2, 2]",1,10,58,31,50+,20-49,0.7435897435897436,0,0.5526410162037693,-0.09101550831906557,-0.09101550831906557,0.0,0.044341941329091084,0.09682997762943091
0,"[0, 5, 2, 2]",2,1,4,4,1-4,1-4,0.16666666666666666,0,0.9327425585094297,0.014526436917937313,0.014526436917937313,0.0,-0.001990367911777295,-0.0037583795197234943
0,"[0, 6, 1, 2]",2,1,0,0,0-0,0-0,0.0,0,0.9334499263622975,0.0,0.0,0.0,0.0,0.0
0,"[0, 6, 2, 2]",0,2,2,0,1-4,0-0,0.09090909090909091,1,0.04627460168697282,-0.09531017980432521,-0.09531017980432477,0.0,0.011331359187641277,0.02009652823987418
0,"[0, 6, 2, 2]",2,1,2,2,1-4,1-4,0.09090909090909091,0,0.9394999330566342,0.006460426803613577,0.006460426803613577,0.0,-0.0007686542010318692,-0.0012584054861939252
0,"[0, 8, 2, 1]",2,1,1,0,1-4,0-0,0.047619047619047616,1,0.10393046107331823,-0.04879016416943216,0.01704140001548088,-0.06583156418491276,-0.006539287479033304,0.013448634355154088
0,"[0, 8, 2, 2]",0,2,4,4,1-4,1-4,0.16666666666666666,1,0.41192680776014107,0.3362046780911887,0.05841608182316932,0.2777885962680192,-0.021491926531700914,-0.21084357668536086
0,"[1, 1, 1, 1]",0,1,0,0,0-0,0-0,0.0,0,0.9938652236833827,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,-1.362028979184915e-18
0,"[1, 1, 2, 2]",0,2,3,3,1-4,1-4,0.13043478260869565,0,0.9946654118985936,0.0008048035510074486,0.0008048035510074486,0.0,-9.177650243262582e-06,-1.300921362555866e-05
